"treeid","common_name","age_class","canopy_radius","condition_class","desirability","height_class","overhead_lines","planting_type","root_infringement","stems","gtw_priority","estimated_value","tree_notes","est_pruning_hours","crew","date_inventoried","last_updated","other_species","i_tree_code","genus_species","genus","species","latitude","location_type","location_value","longitude","dedicated","dedication_year","dbh_1","dbh_2","dbh_3","dbh_4","dbh_5","dbh_height","adv_ass_root","adv_ass_stem","vtsa","isa_consequences","isa_failure","isa_fail_impact","isa_impact","isa_risk_rating","plant_part_concern","primary_target","secondary_target","date_rec","rcx","soils_1","soils_2","date_rec_1","prune","pruning_category","pruning_goal_1","pruning_goal_2","pruning_goal_other","pruning_system","date_rec_2","removal","date_rec_3","cable","cable_info","cable_size","date_rec_4","brace_rod","brace_rod_info","date_rec_5","date_rec_6","guy","guy_info","date_rec_7","date_rec_8","pest_disease_type_1","pest_disease_type_2","pest_disease_type_3","pest_disease_type_4","pest_disease_type_5","pest_disease_type_6","defect_other","defect_type_1","defect_type_2","defect_type_3","defect_type_4","defect_type_5","defect_type_6","addr_1","street_num","street_name","city","post_code","state","crn_light_exposure","total_height","tree_site","file_extension","filename","image_type"
11,"Zelkova-Japanese","Semi-mature",,"Good",0.75,,"No",1,"51-75%",1,"2",1870.02,"",0,"STD","3/5/18","3/5/18","","ZESE","Zelkova serrata","Zelkova","serrata",40.5348447,"Street tree","Fair",-80.17702048,,1,11,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"","","1900-01-01 00:00:00",,"","","","","","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",1,"New 2","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","Included bark","","","","","","870 Thorn St","870","Thorn St","Sewickley",15143,"PA",5,-1,,"","","Undefined"
12,"Hawthorn","Semi-mature",,"Good",0.58,,"No",1,"51-75%",1,,298.79,"",0,"STD","3/5/18","4/6/18","","CR","Crataegus sp","Crataegus","sp",40.53504163,"Street tree","Fair",-80.17728751,,1,5,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"","","1900-01-01 00:00:00",,"","","","","","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","","","","","","","864 Thorn St","864","Thorn St","Sewickley",15143,"PA",5,-1,,"","","Undefined"
13,"Zelkova-Japanese","Young",,"Good",0.75,,"No",1,"51-75%",1,,556.37,"",0,"STD","3/5/18","3/5/18","","ZESE","Zelkova serrata","Zelkova","serrata",40.53522198,"Street tree","Fair",-80.17754795,,1,6,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"","","1900-01-01 00:00:00",,"","","","","","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","","","","","","","858 Thorn St","858","Thorn St","Sewickley",15143,"PA",5,-1,,"","","Undefined"
14,"Zelkova-Japanese","Semi-mature",,"Poor",0.75,,"No",1,"51-75%",1,"2",105.98,"",0,"STD","3/5/18","3/5/18","","ZESE","Zelkova serrata","Zelkova","serrata",40.53528438,"Street tree","Fair",-80.177638,,1,4,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"","","1900-01-01 00:00:00",1,"Maintenance","Develop branch structure","","Structural","Natural","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","Wound-stem","","","","","","858 Thorn St","858","Thorn St","Sewickley",15143,"PA",5,-1,,"","","Undefined"
15,"Zelkova-Japanese","Young",,"Fair",0.75,,"No",1,"51-75%",1,,397.41,"",0,"STD","3/5/18","3/5/18","","ZESE","Zelkova serrata","Zelkova","serrata",40.53537315,"Street tree","Fair",-80.17775401,,1,6,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"","","1900-01-01 00:00:00",,"","","","","","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","","","","","","","830 Thorn St","830","Thorn St","Sewickley",15143,"PA",5,-1,,"","","Undefined"
16,"Zelkova-Japanese","Semi-mature",,"Good",0.75,,"No",1,"51-75%",1,,1870.02,"",0,"STD","3/5/18","3/16/18","","ZESE","Zelkova serrata","Zelkova","serrata",40.53541184,"Street tree","Fair",-80.17783356,,1,11,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"","","1900-01-01 00:00:00",,"","","","","","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","Seam","","","","","","830 Thorn St","830","Thorn St","Sewickley",15143,"PA",5,-1,,"","","Undefined"
17,"Zelkova-Japanese","Semi-mature",,"Good",0.75,,"No",1,"51-75%",1,,1545.47,"",0,"STD","3/5/18","3/16/18","","ZESE","Zelkova serrata","Zelkova","serrata",40.53552246,"Street tree","Fair",-80.17797852,,1,10,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"","","1900-01-01 00:00:00",,"","","","","","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","Suppressed","","","","","","830 Thorn St","830","Thorn St","Sewickley",15143,"PA",5,-1,,"","","Undefined"
18,"Zelkova-Japanese","Semi-mature",,"Good",0.75,,"No",1,"51-75%",1,,61.82,"",0,"STD","3/5/18","3/5/18","","ZESE","Zelkova serrata","Zelkova","serrata",40.53562109,"Street tree","Fair",-80.17807772,,1,2,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"","","1900-01-01 00:00:00",,"","","","","","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","","","","","","","828 Thorn St","828","Thorn St","Sewickley",15143,"PA",5,-1,,"","","Undefined"
19,"Zelkova-Japanese","Semi-mature",,"Good",0.75,,"No",1,"51-75%",1,"3",1545.47,"",0,"STD","3/5/18","3/5/18","","ZESE","Zelkova serrata","Zelkova","serrata",40.53570467,"Street tree","Fair",-80.17816384,,1,10,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"","","1900-01-01 00:00:00",1,"Maintenance","Develop branch structure","","Structural","Natural","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","","","","","","","826 Thorn St","826","Thorn St","Sewickley",15143,"PA",5,-1,,"","","Undefined"
20,"Hawthorn","Young",,"Good",0.58,,"No",1,"51-75%",1,,107.56,"",0,"STD","3/5/18","4/6/18","","CR","Crataegus sp","Crataegus","sp",40.53577604,"Street tree","Fair",-80.17822788,,1,3,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"","","1900-01-01 00:00:00",,"","","","","","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","","","","","","","826 Thorn St","826","Thorn St","Sewickley",15143,"PA",5,-1,,"","","Undefined"
21,"Hawthorn","Young",,"Good",0.58,,"No",1,"51-75%",1,,191.23,"",0,"STD","3/5/18","4/6/18","","CR","Crataegus sp","Crataegus","sp",40.53583396,"Street tree","Fair",-80.1782846,,1,4,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"","","1900-01-01 00:00:00",,"","","","","","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","","","","","","","822 Thorn St","822","Thorn St","Sewickley",15143,"PA",5,-1,,"","","Undefined"
22,"Maple-Sugar","Mature",,"Good",0.75,,"No",1,"51-75%",1,,7480.07,"",0,"STD","3/5/18","3/5/18","","ACSA2","Acer saccharum","Acer","saccharum",40.53588553,"Street tree","Fair",-80.17835126,,1,22,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"","","1900-01-01 00:00:00",,"","","","","","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","Poor branch structure","Pavement/curbing damage","","","","","822 Thorn St","822","Thorn St","Sewickley",15143,"PA",5,-1,,"","","Undefined"
23,"Zelkova-Japanese","Young",,"Good",0.75,,"No",1,"51-75%",1,,556.37,"",0,"STD","3/5/18","3/5/18","","ZESE","Zelkova serrata","Zelkova","serrata",40.53599005,"Street tree","Fair",-80.17844739,,1,6,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",1,"","","1900-01-01 00:00:00",,"","","","","","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","Buried root collar","","","","","","816 Thorn St","816","Thorn St","Sewickley",15143,"PA",5,-1,,"","","Undefined"
24,"Oak-Scarlet","Semi-mature",,"Good",0.73,,"No",1,"51-75%",1,,3850.9,"",0,"STD","3/5/18","3/5/18","","QUCO","Quercus coccinea","Quercus","coccinea",40.53613116,"Street tree","Fair",-80.17859894,,1,16,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"","","1900-01-01 00:00:00",,"","","","","","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","","","","","","","320 Peebles St","320","Peebles St","Sewickley",15143,"PA",5,-1,,"","","Undefined"
25,"Oak-Scarlet","Semi-mature",,"Good",0.73,,"No",1,"51-75%",1,,2948.34,"",0,"STD","3/5/18","3/5/18","","QUCO","Quercus coccinea","Quercus","coccinea",40.53622055,"Street tree","Fair",-80.17868042,,1,14,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"","","1900-01-01 00:00:00",,"","","","","","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","","","","","","","320 Peebles St","320","Peebles St","Sewickley",15143,"PA",5,-1,,"","","Undefined"
26,"Oak-Scarlet","Semi-mature",,"Good",0.73,,"No",1,"51-75%",1,,4873.79,"",0,"STD","3/5/18","3/16/18","","QUCO","Quercus coccinea","Quercus","coccinea",40.53630447,"Street tree","Fair",-80.17877197,,1,18,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"","","1900-01-01 00:00:00",,"","","","","","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","","","","","","","320 Peebles St","320","Peebles St","Sewickley",15143,"PA",5,-1,,"","","Undefined"
27,"Maple-Freeman's","Semi-mature",,"Good",0.7,,"No",1,"51-75%",1,,2437.72,"",0,"STD","3/5/18","3/5/18","","ACFR","Acer x freemanii","Acer","x freemanii",40.53652954,"Street tree","Fair",-80.17897797,,1,13,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"","","1900-01-01 00:00:00",,"","","","","","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","Poor branch structure","","","","","","321 Peebles St","321","Peebles St","Sewickley",15143,"PA",5,-1,,"","","Undefined"
28,"Cherry","Young",,"Good",0.55,,"No",1,"51-75%",1,,181.34,"",0,"STD","3/5/18","3/5/18","","PR","Prunus sp","Prunus","sp",40.53660026,"Street tree","Fair",-80.17903029,,1,4,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"","","1900-01-01 00:00:00",,"","","","","","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","","","","","","","321 Peebles St","321","Peebles St","Sewickley",15143,"PA",5,-1,,"","","Undefined"
29,"Cherry","Young",,"Good",0.55,,"No",1,"51-75%",1,,181.34,"",0,"STD","3/5/18","3/16/18","","PR","Prunus sp","Prunus","sp",40.53662491,"Street tree","Fair",-80.17906952,,1,4,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"","","1900-01-01 00:00:00",,"","","","","","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","","","","","","","321 Peebles St","321","Peebles St","Sewickley",15143,"PA",5,-1,,"","","Undefined"
30,"Maple-Red","Semi-mature",,"Good",0.7,,"No",1,"51-75%",1,"2",4168.64,"",0,"STD","3/5/18","3/5/18","","ACRU","Acer rubrum","Acer","rubrum",40.53671011,"Street tree","Fair",-80.17914252,,1,17,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"","","1900-01-01 00:00:00",1,"Maintenance","Develop branch structure","","Structural","Natural","1900-01-01 00:00:00","No","1900-01-01 00:00:00",1,"New 1","Large","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","Pavement/curbing damage","Co-dominant stems","","","","","321 Peebles St","321","Peebles St","Sewickley",15143,"PA",5,-1,,"","","Undefined"
31,"Cherry","Young",,"Good",0.55,,"No",1,"51-75%",1,,102,"",0,"STD","3/5/18","3/5/18","","PR","Prunus sp","Prunus","sp",40.53690128,"Street tree","Fair",-80.17932304,,1,3,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"","","1900-01-01 00:00:00",,"","","","","","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","","","","","","","718 Thorn St","718","Thorn St","Sewickley",15143,"PA",5,-1,,"","","Undefined"
32,"Zelkova-Japanese","Young",,"Good",0.75,,"No",1,"51-75%",1,,247.28,"",0,"STD","3/5/18","3/5/18","","ZESE","Zelkova serrata","Zelkova","serrata",40.53699323,"Street tree","Fair",-80.17941828,,1,4,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"","","1900-01-01 00:00:00",,"","","","","","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","","","","","","","718 Thorn St","718","Thorn St","Sewickley",15143,"PA",5,-1,,"","","Undefined"
33,"Zelkova-Japanese","Semi-mature",,"Good",0.75,,"No",1,"51-75%",1,"3",1251.83,"",0,"STD","3/5/18","3/5/18","","ZESE","Zelkova serrata","Zelkova","serrata",40.5371063,"Street tree","Fair",-80.17951341,,1,9,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"","","1900-01-01 00:00:00",1,"Maintenance","Develop branch structure","","Structural","Natural","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","","","","","","","710 Thorn St","710","Thorn St","Sewickley",15143,"PA",5,-1,,"","","Undefined"
34,"Hawthorn","Young",,"Good",0.58,,"No",1,"51-75%",1,,107.56,"",0,"STD","3/5/18","4/6/18","","CR","Crataegus sp","Crataegus","sp",40.5371441,"Street tree","Fair",-80.17956042,,1,3,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"","","1900-01-01 00:00:00",,"","","","","","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","","","","","","","710 Thorn St","710","Thorn St","Sewickley",15143,"PA",5,-1,,"","","Undefined"
35,"Zelkova-Japanese","Young",,"Good",0.75,,"No",1,"51-75%",1,,247.28,"",0,"STD","3/5/18","3/5/18","","ZESE","Zelkova serrata","Zelkova","serrata",40.53722362,"Street tree","Fair",-80.17964805,,1,4,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"","","1900-01-01 00:00:00",,"","","","","","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","","","","","","","710 Thorn St","710","Thorn St","Sewickley",15143,"PA",5,-1,,"","","Undefined"
36,"Maple-Sugar","Semi-mature",,"Good",,,"No",1,"51-75%",1,,1251.83,"",0,"STD","3/5/18","3/6/18","","ACSA2","Acer saccharum","Acer","saccharum",40.5372994,"Street tree","Fair",-80.17972613,,1,9,0,0,0,0,4.5,"No","No","No",,,"",,"",,,,"1900-01-01 00:00:00",,"","","1900-01-01 00:00:00",,"","","","","","1900-01-01 00:00:00","No","1900-01-01 00:00:00",0,,,"1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00",,"","1900-01-01 00:00:00","1900-01-01 00:00:00","",,,,,,"","Poor branch structure","Co-dominant stems","","","","","701 Thorn St","701","Thorn St","Sewickley",15143,"PA",5,-1,,"","","Undefined"
